fn #,x^2,x,k,root1,root2
82,1,-7,-60,12,-5
83,1,-28,187,17,11
84,1,28,160,-8,-20
85,1,24,95,-5,-19
86,1,-30,209,19,11
87,1,-12,-160,20,-8
88,1,-20,36,18,2
89,1,21,108,-9,-12
90,1,38,360,-18,-20
91,1,-14,-51,17,-3
92,1,10,-144,8,-18
93,1,-9,-90,15,-6
94,1,21,20,-1,-20
95,1,-1,-6,3,-2
96,1,-9,-52,13,-4
97,1,21,110,-10,-11
98,1,-17,-60,20,-3
99,1,-9,-36,12,-3
100,1,-10,-24,12,-2
101,1,-19,60,15,4
102,1,-4,-221,17,-13
103,1,0,-361,19,-19
104,1,31,234,-13,-18
105,1,-22,120,12,10
106,1,12,-13,1,-13
107,1,7,-30,3,-10
108,1,4,-252,14,-18
109,1,-7,-44,11,-4
110,1,-11,10,10,1
111,1,-21,54,18,3
112,1,3,-10,2,-5
113,1,34,288,-16,-18
114,1,-3,0,3,0
115,1,-26,160,16,10
116,1,-15,14,14,1
117,1,-28,196,14,14
118,1,0,-81,9,-9
119,1,-5,-234,18,-13
120,1,1,0,0,-1
121,1,9,18,-3,-6
122,1,-5,-266,19,-14
123,1,0,-81,9,-9
124,1,2,-288,16,-18
125,1,-18,-40,20,-2
126,1,3,-88,8,-11
127,1,9,-52,4,-13
128,1,-25,154,14,11
129,1,-6,-55,11,-5
130,1,17,70,-7,-10
131,1,9,14,-2,-7
132,1,-11,-180,20,-9
133,1,-27,176,16,11
134,1,9,-112,7,-16
135,1,-2,-255,17,-15
136,1,-18,72,12,6
137,1,-19,70,14,5
138,1,-13,36,9,4
139,1,28,160,-8,-20
140,1,18,81,-9,-9
141,1,-12,-45,15,-3
142,1,19,70,-5,-14
143,1,-19,88,11,8
144,1,-17,-38,19,-2
145,1,6,-72,6,-12
146,1,-29,204,17,12
147,1,-9,-10,10,-1
148,1,20,0,0,-20
149,1,1,0,0,-1
150,1,-8,-9,9,-1
151,1,6,-247,13,-19
152,1,-19,78,13,6
153,1,-17,30,15,2
154,1,-2,-63,9,-7
155,1,-11,-26,13,-2
156,1,-4,0,4,0
157,1,18,77,-7,-11
158,1,-28,187,17,11
159,1,21,80,-5,-16
160,1,5,-234,13,-18
161,1,11,-12,1,-12
162,1,21,80,-5,-16
163,1,-8,-20,10,-2
164,1,-3,-18,6,-3
165,1,12,35,-5,-7
166,1,7,-98,7,-14
167,1,-23,90,18,5
168,1,3,-88,8,-11
169,1,-6,-72,12,-6
170,1,-8,-9,9,-1
171,1,-6,-91,13,-7
172,1,2,-48,6,-8
173,1,-21,110,11,10
174,1,-13,-48,16,-3
175,1,14,-15,1,-15
176,1,4,-117,9,-13
177,1,-7,12,4,3
178,1,-18,65,13,5
179,1,-21,68,17,4
180,1,4,-140,10,-14
181,1,6,-187,11,-17
182,1,22,72,-4,-18
183,1,-11,18,9,2
184,1,-28,160,20,8
185,1,-6,-72,12,-6
186,1,2,-24,4,-6
187,1,-22,112,14,8
188,1,-7,-78,13,-6
189,1,31,240,-15,-16
190,1,-14,-72,18,-4
191,1,-9,-190,19,-10
192,1,-2,-288,18,-16
193,1,28,180,-10,-18
194,1,20,96,-8,-12
195,1,9,-52,4,-13
196,1,12,-28,2,-14
197,1,-13,42,7,6
198,1,30,216,-12,-18
199,1,-10,-171,19,-9
200,1,9,-220,11,-20
201,1,38,361,-19,-19
202,1,-25,114,19,6
203,1,6,-7,1,-7
204,1,-1,-272,17,-16
205,1,-17,70,10,7
206,1,-18,45,15,3
207,1,-18,72,12,6
208,1,-10,24,6,4
209,1,-30,200,20,10
210,1,14,40,-4,-10
211,1,-16,63,9,7
212,1,-28,192,16,12
213,1,-2,-35,7,-5
214,1,-3,-18,6,-3
215,1,-4,-320,20,-16
216,1,-3,-108,12,-9
217,1,-18,77,11,7
218,1,7,-60,5,-12
219,1,-2,-15,5,-3
220,1,0,-25,5,-5
221,1,13,0,0,-13
222,1,-35,304,19,16
223,1,22,105,-7,-15
224,1,19,0,0,-19
225,1,31,238,-14,-17
226,1,9,-220,11,-20
227,1,-8,0,8,0
228,1,38,360,-18,-20
229,1,-13,-48,16,-3
230,1,10,-119,7,-17
231,1,30,224,-14,-16
232,1,1,-72,8,-9
233,1,-11,-26,13,-2
234,1,15,36,-3,-12
235,1,16,-17,1,-17
236,1,-11,18,9,2
237,1,30,209,-11,-19
238,1,24,140,-10,-14
239,1,27,152,-8,-19
240,1,-37,340,20,17
241,1,3,-70,7,-10
242,1,10,-96,6,-16
243,1,4,-77,7,-11
244,1,24,135,-9,-15
245,1,-3,-238,17,-14
246,1,-3,-18,6,-3
247,1,-32,240,20,12
248,1,13,42,-6,-7
249,1,10,-96,6,-16
250,1,-6,-187,17,-11
251,1,1,-156,12,-13
252,1,5,-104,8,-13
253,1,3,-4,1,-4
254,1,12,35,-5,-7
255,1,-4,-45,9,-5
256,1,-3,-70,10,-7
257,1,22,117,-9,-13
258,1,-5,-266,19,-14
259,1,-23,102,17,6
260,1,27,152,-8,-19
261,1,0,-256,16,-16
262,1,19,90,-9,-10
263,1,6,8,-2,-4
264,1,-15,-54,18,-3
265,1,10,-119,7,-17
266,1,-39,380,20,19
267,1,-4,-32,8,-4
268,1,-1,-2,2,-1
269,1,8,-65,5,-13
270,1,27,182,-13,-14
271,1,4,-21,3,-7
272,1,28,180,-10,-18
273,1,-1,-342,19,-18
274,1,18,56,-4,-14
275,1,-1,-182,14,-13
276,1,-1,-2,2,-1
277,1,11,30,-5,-6
278,1,-7,12,4,3
279,1,-15,-76,19,-4
280,1,0,-324,18,-18
281,1,13,36,-4,-9
282,1,24,108,-6,-18
283,1,18,77,-7,-11
284,1,-9,-22,11,-2
285,1,1,-240,15,-16
286,1,-2,-8,4,-2
287,1,-24,119,17,7
288,1,-28,196,14,14
289,1,9,-136,8,-17
290,1,-8,-240,20,-12
291,1,-23,76,19,4
292,1,-25,100,20,5
293,1,3,-154,11,-14
294,1,-5,-104,13,-8
295,1,17,-60,3,-20
296,1,16,63,-7,-9
297,1,-27,176,16,11
298,1,15,44,-4,-11
299,1,-24,80,20,4
300,1,-2,-15,5,-3
301,1,2,-143,11,-13
302,1,-20,99,11,9
303,1,6,-40,4,-10
304,1,-24,143,13,11
305,1,4,-12,2,-6
306,1,-15,-34,17,-2
307,1,0,-25,5,-5
308,1,21,38,-2,-19
309,1,24,128,-8,-16
310,1,-16,63,9,7
311,1,-4,-12,6,-2
312,1,-3,-180,15,-12
313,1,-30,225,15,15
314,1,-3,-130,13,-10
315,1,25,100,-5,-20
316,1,20,84,-6,-14
317,1,19,18,-1,-18
318,1,-32,247,19,13
319,1,31,220,-11,-20
320,1,7,-8,1,-8
321,1,22,57,-3,-19
322,1,-20,19,19,1
323,1,-29,204,17,12
324,1,-28,196,14,14
325,1,-2,-288,18,-16
326,1,-2,-255,17,-15
327,1,1,-306,17,-18
328,1,3,-88,8,-11
329,1,-17,60,12,5
330,1,-5,-104,13,-8
331,1,-31,240,16,15
332,1,-32,240,20,12
333,1,-18,32,16,2
334,1,-15,26,13,2
335,1,-3,-304,19,-16
336,1,-3,-180,15,-12
337,1,10,-24,2,-12
338,1,0,-400,20,-20
339,1,-20,75,15,5
340,1,-13,-48,16,-3
341,1,8,-128,8,-16
342,1,35,300,-15,-20
343,1,17,70,-7,-10
344,1,-9,-220,20,-11
345,1,3,-108,9,-12
346,1,-4,-320,20,-16
347,1,13,12,-1,-12
348,1,-22,120,12,10
349,1,12,20,-2,-10
350,1,9,-190,10,-19
351,1,-14,-95,19,-5
352,1,13,36,-4,-9
353,1,11,-42,3,-14
354,1,-4,4,2,2
355,1,-6,-112,14,-8
356,1,8,-240,12,-20
357,1,-1,-240,16,-15
358,1,5,-126,9,-14
359,1,14,33,-3,-11
360,1,-6,5,5,1
361,1,26,168,-12,-14
362,1,1,-20,4,-5
363,1,-9,20,5,4
364,1,-3,-18,6,-3
365,1,-34,289,17,17
366,1,-12,-133,19,-7
367,1,28,171,-9,-19
368,1,30,225,-15,-15
369,1,3,-108,9,-12
370,1,1,-380,19,-20
371,1,-20,0,20,0
372,1,-13,12,12,1
373,1,27,152,-8,-19
374,1,5,-126,9,-14
375,1,-20,75,15,5
376,1,7,-120,8,-15
377,1,-10,0,10,0
378,1,13,-114,6,-19
379,1,-14,-15,15,-1
380,1,-29,210,15,14
381,1,20,91,-7,-13
382,1,12,-64,4,-16
383,1,-22,121,11,11
384,1,16,-80,4,-20
385,1,-40,400,20,20
386,1,8,-128,8,-16
387,1,-4,-140,14,-10
388,1,1,-20,4,-5
389,1,-33,270,18,15
390,1,-14,40,10,4
391,1,-13,-68,17,-4
392,1,10,-200,10,-20
393,1,9,-136,8,-17
394,1,30,216,-12,-18
395,1,4,-285,15,-19
396,1,7,10,-2,-5
397,1,18,32,-2,-16
398,1,-1,-156,13,-12
399,1,-22,120,12,10
400,1,-24,143,13,11
401,1,-14,-15,15,-1
402,1,15,50,-5,-10
403,1,28,171,-9,-19
404,1,-10,-24,12,-2
405,1,24,80,-4,-20
406,1,-22,85,17,5
407,1,-14,13,13,1
408,1,-37,342,19,18
409,1,6,0,0,-6
410,1,30,225,-15,-15
411,1,24,128,-8,-16
412,1,17,-38,2,-19
413,1,4,-192,12,-16
414,1,-25,154,14,11
415,1,0,-64,8,-8
416,1,-7,10,5,2
417,1,-3,-40,8,-5
418,1,24,119,-7,-17
419,1,-18,0,18,0
420,1,-7,-8,8,-1
421,1,-9,-90,15,-6
422,1,33,266,-14,-19
423,1,-16,60,10,6
424,1,5,-204,12,-17
425,1,-14,13,13,1
426,1,-21,80,16,5
427,1,-3,-88,11,-8
428,1,-17,-38,19,-2
429,1,-12,20,10,2
430,1,-21,38,19,2
431,1,15,-54,3,-18
432,1,22,57,-3,-19
433,1,-17,72,9,8
434,1,15,36,-3,-12
435,1,19,90,-9,-10
436,1,-3,-88,11,-8
437,1,-2,-3,3,-1
438,1,0,-100,10,-10
439,1,-16,28,14,2
440,1,-27,180,15,12
441,1,-10,9,9,1
442,1,-9,-136,17,-8
443,1,27,140,-7,-20
444,1,-23,130,13,10
445,1,31,220,-11,-20
446,1,16,28,-2,-14
447,1,-7,-120,15,-8
448,1,19,70,-5,-14
449,1,-16,48,12,4
450,1,-19,48,16,3
451,1,-29,210,15,14
452,1,-13,42,7,6
453,1,-31,234,18,13
454,1,-3,-28,7,-4
455,1,-13,-14,14,-1
456,1,7,-8,1,-8
457,1,19,90,-9,-10
458,1,-15,-16,16,-1
459,1,13,22,-2,-11
460,1,0,-196,14,-14
461,1,26,169,-13,-13
462,1,-10,-39,13,-3
463,1,17,16,-1,-16
464,1,-26,168,14,12
465,1,15,14,-1,-14
466,1,-5,-126,14,-9
467,1,-12,-64,16,-4
468,1,-28,160,20,8
469,1,-5,-66,11,-6
470,1,12,-133,7,-19
471,1,-1,0,1,0
472,1,-3,-154,14,-11
473,1,-2,-8,4,-2
474,1,-8,-65,13,-5
475,1,-31,228,19,12
476,1,15,-76,4,-19
477,1,-17,-60,20,-3
478,1,-25,136,17,8
479,1,4,-77,7,-11
480,1,15,26,-2,-13
481,1,-15,54,9,6
482,1,3,2,-1,-2
483,1,-10,-11,11,-1
484,1,33,272,-16,-17
485,1,-7,-8,8,-1
486,1,15,14,-1,-14
487,1,-12,-108,18,-6
488,1,-8,-84,14,-6
489,1,16,-17,1,-17
490,1,2,-224,14,-16
491,1,25,100,-5,-20
492,1,26,120,-6,-20
493,1,13,42,-6,-7
494,1,10,-200,10,-20
495,1,16,15,-1,-15
496,1,-19,84,12,7
497,1,17,52,-4,-13
498,1,-12,-85,17,-5
499,1,25,144,-9,-16
500,1,11,-80,5,-16
501,1,-15,56,8,7
502,1,0,-256,16,-16
503,1,-5,-6,6,-1
504,1,5,-50,5,-10
505,1,18,77,-7,-11
506,1,1,-240,15,-16
507,1,14,48,-6,-8
508,1,-3,-208,16,-13
509,1,28,192,-12,-16
510,1,-7,-228,19,-12
511,1,13,42,-6,-7
512,1,2,-15,3,-5
513,1,13,0,0,-13
514,1,7,-44,4,-11
515,1,2,-323,17,-19
516,1,17,72,-8,-9
517,1,-12,27,9,3
518,1,0,-361,19,-19
519,1,2,-224,14,-16
520,1,-6,-280,20,-14
521,1,20,99,-9,-11
522,1,-22,40,20,2
523,1,-9,-10,10,-1
524,1,29,204,-12,-17
525,1,-16,-36,18,-2
526,1,24,135,-9,-15
527,1,1,-12,3,-4
528,1,22,57,-3,-19
529,1,-10,16,8,2
530,1,-10,16,8,2
531,1,-12,-64,16,-4
532,1,-6,-216,18,-12
533,1,-25,154,14,11
534,1,15,26,-2,-13
535,1,-8,-105,15,-7
536,1,0,-361,19,-19
537,1,13,-90,5,-18
538,1,22,57,-3,-19
539,1,-1,-30,6,-5
540,1,6,-16,2,-8
541,1,16,-36,2,-18
542,1,3,-18,3,-6
543,1,11,28,-4,-7
544,1,27,176,-11,-16
545,1,-7,10,5,2
546,1,0,-81,9,-9
547,1,-9,8,8,1
548,1,-16,28,14,2
549,1,-33,270,18,15
550,1,19,84,-7,-12
551,1,-23,112,16,7
552,1,31,228,-12,-19
553,1,-6,-16,8,-2
554,1,15,14,-1,-14
555,1,-18,77,11,7
556,1,2,-323,17,-19
557,1,22,117,-9,-13
558,1,29,180,-9,-20
559,1,-12,11,11,1
560,1,-21,98,14,7
561,1,30,224,-14,-16
562,1,-8,-240,20,-12
563,1,2,-35,5,-7
564,1,-17,52,13,4
565,1,13,42,-6,-7
566,1,10,-56,4,-14
567,1,-25,100,20,5
568,1,-21,98,14,7
569,1,16,39,-3,-13
570,1,21,98,-7,-14
571,1,19,0,0,-19
572,1,-13,-114,19,-6
573,1,28,180,-10,-18
574,1,-2,-288,18,-16
575,1,4,0,0,-4
576,1,36,324,-18,-18
577,1,-3,0,3,0
578,1,22,85,-5,-17
579,1,37,340,-17,-20
580,1,-12,-85,17,-5
581,1,-12,35,7,5
582,1,-14,33,11,3
583,1,-16,-36,18,-2
584,1,-11,28,7,4
585,1,-9,-136,17,-8
586,1,12,-13,1,-13
587,1,37,340,-17,-20
588,1,21,54,-3,-18
589,1,-22,120,12,10
590,1,-15,-16,16,-1
591,1,8,-20,2,-10
592,1,1,-2,1,-2
593,1,-5,-66,11,-6
594,1,6,-112,8,-14
595,1,17,-18,1,-18
596,1,4,-21,3,-7
597,1,-9,8,8,1
598,1,13,-90,5,-18
599,1,10,-11,1,-11
600,1,1,-182,13,-14
601,1,2,-15,3,-5
602,1,-2,0,2,0
603,1,0,-324,18,-18
604,1,-2,-323,19,-17
605,1,-24,119,17,7
606,1,-14,13,13,1
607,1,-11,-102,17,-6
608,1,-4,-117,13,-9
609,1,-15,26,13,2
610,1,20,84,-6,-14
611,1,-3,-10,5,-2
612,1,-23,60,20,3
613,1,9,-52,4,-13
614,1,23,90,-5,-18
615,1,-18,77,11,7
616,1,-3,-270,18,-15
617,1,12,-13,1,-13
618,1,-23,102,17,6
619,1,12,35,-5,-7
620,1,-15,-16,16,-1
621,1,31,238,-14,-17
622,1,9,-10,1,-10
623,1,1,-42,6,-7
624,1,24,135,-9,-15
625,1,4,-5,1,-5
626,1,-20,19,19,1
627,1,-11,-42,14,-3
628,1,-28,171,19,9
629,1,12,-133,7,-19
630,1,-29,180,20,9
631,1,17,30,-2,-15
632,1,11,-26,2,-13
633,1,3,-10,2,-5
634,1,-29,190,19,10
635,1,-22,40,20,2
636,1,34,288,-16,-18
637,1,-7,10,5,2
638,1,-6,-135,15,-9
639,1,12,11,-1,-11
640,1,-32,252,18,14
641,1,-21,80,16,5
642,1,-6,-135,15,-9
643,1,12,-64,4,-16
644,1,22,117,-9,-13
645,1,-32,255,17,15
646,1,8,12,-2,-6
647,1,13,36,-4,-9
648,1,-37,342,19,18
649,1,12,-13,1,-13
650,1,-14,48,8,6
651,1,-39,380,20,19
652,1,4,3,-1,-3
653,1,-15,-34,17,-2
654,1,11,-80,5,-16
655,1,3,-70,7,-10
656,1,-1,-210,15,-14
657,1,34,288,-16,-18
658,1,-9,-10,10,-1
659,1,5,-6,1,-6
660,1,27,180,-12,-15
661,1,-1,-90,10,-9
662,1,11,-26,2,-13
663,1,-10,-39,13,-3
664,1,13,40,-5,-8
665,1,-14,-95,19,-5
666,1,11,30,-5,-6
667,1,8,15,-3,-5
668,1,14,-72,4,-18
669,1,-10,-11,11,-1
670,1,-7,-98,14,-7
671,1,-7,-8,8,-1
672,1,-1,-342,19,-18
673,1,-29,198,18,11
674,1,-20,19,19,1
675,1,-17,42,14,3
676,1,-11,-80,16,-5
677,1,8,-105,7,-15
678,1,7,-228,12,-19
679,1,6,-91,7,-13
680,1,-17,30,15,2
681,1,-21,108,12,9
682,1,2,-48,6,-8
683,1,14,-15,1,-15
684,1,19,48,-3,-16
685,1,-24,95,19,5
686,1,21,20,-1,-20
687,1,7,-120,8,-15
688,1,14,-95,5,-19
689,1,12,-13,1,-13
690,1,37,340,-17,-20
691,1,10,16,-2,-8
692,1,1,-342,18,-19
693,1,17,30,-2,-15
694,1,5,-150,10,-15
695,1,12,-160,8,-20
696,1,-6,-135,15,-9
697,1,1,-156,12,-13
698,1,35,306,-17,-18
699,1,4,3,-1,-3
700,1,33,272,-16,-17
701,1,-26,168,14,12
702,1,-32,240,20,12
703,1,-3,-40,8,-5
704,1,8,-33,3,-11
705,1,2,-80,8,-10
706,1,-8,12,6,2
707,1,-5,-66,11,-6
708,1,34,288,-16,-18
709,1,23,112,-7,-16
710,1,22,117,-9,-13
711,1,-27,140,20,7
712,1,-6,5,5,1
713,1,0,-289,17,-17
714,1,22,117,-9,-13
715,1,11,-26,2,-13
716,1,14,-120,6,-20
717,1,-1,-30,6,-5
718,1,-5,-84,12,-7
719,1,13,-140,7,-20
720,1,16,28,-2,-14
721,1,-10,-11,11,-1
722,1,29,210,-14,-15
723,1,-26,168,14,12
724,1,-9,-190,19,-10
725,1,11,24,-3,-8
726,1,25,154,-11,-14
727,1,10,16,-2,-8
728,1,13,-114,6,-19
729,1,8,15,-3,-5
730,1,24,80,-4,-20
731,1,-29,190,19,10
732,1,-13,-68,17,-4
733,1,19,-20,1,-20
734,1,36,323,-17,-19
735,1,-26,168,14,12
736,1,-27,176,16,11
737,1,24,135,-9,-15
738,1,-12,-133,19,-7
739,1,36,324,-18,-18
740,1,-10,24,6,4
741,1,13,-48,3,-16
742,1,11,0,0,-11
743,1,-1,-30,6,-5
744,1,13,30,-3,-10
745,1,-6,-187,17,-11
746,1,-37,342,19,18
747,1,-9,8,8,1
748,1,33,272,-16,-17
749,1,16,63,-7,-9
750,1,-35,306,18,17
751,1,-3,0,3,0
752,1,2,-3,1,-3
753,1,-13,22,11,2
754,1,-1,-2,2,-1
755,1,25,114,-6,-19
756,1,-29,210,15,14
757,1,5,-36,4,-9
758,1,-4,-165,15,-11
759,1,-5,-24,8,-3
760,1,-3,-304,19,-16
761,1,6,-55,5,-11
762,1,38,360,-18,-20
763,1,32,240,-12,-20
764,1,-22,112,14,8
765,1,-2,-288,18,-16
766,1,-3,-18,6,-3
767,1,-7,-228,19,-12
768,1,1,-306,17,-18
769,1,-1,-30,6,-5
770,1,-9,18,6,3
771,1,-22,117,13,9
772,1,-15,54,9,6
773,1,9,-22,2,-11
774,1,19,18,-1,-18
775,1,-6,-247,19,-13
776,1,-2,-3,3,-1
777,1,33,266,-14,-19
778,1,-22,72,18,4
779,1,27,180,-12,-15
780,1,19,18,-1,-18
781,1,24,128,-8,-16
782,1,-18,80,10,8
783,1,-4,-140,14,-10
784,1,-11,0,11,0
785,1,38,360,-18,-20
786,1,5,-36,4,-9
787,1,-5,-204,17,-12
788,1,-13,-90,18,-5
789,1,2,-3,1,-3
790,1,-3,-40,8,-5
791,1,-27,170,17,10
792,1,20,19,-1,-19
793,1,-4,-45,9,-5
794,1,-23,132,12,11
795,1,4,-285,15,-19
796,1,9,-112,7,-16
797,1,-2,-24,6,-4
798,1,17,0,0,-17
799,1,-7,-260,20,-13
800,1,23,130,-10,-13
801,1,18,56,-4,-14
802,1,1,-56,7,-8
803,1,-8,-105,15,-7
804,1,-10,-75,15,-5
805,1,7,12,-3,-4
806,1,-8,-65,13,-5
807,1,5,-300,15,-20
808,1,9,-52,4,-13
809,1,17,52,-4,-13
810,1,12,-13,1,-13
811,1,10,-96,6,-16
812,1,10,-171,9,-19
813,1,-11,30,6,5
814,1,18,-40,2,-20
815,1,3,-304,16,-19
816,1,-15,-34,17,-2
817,1,20,64,-4,-16
818,1,-15,-76,19,-4
819,1,14,33,-3,-11
820,1,-35,304,19,16
821,1,0,-49,7,-7
822,1,-13,-68,17,-4
823,1,12,32,-4,-8
824,1,30,224,-14,-16
825,1,-18,32,16,2
826,1,3,-270,15,-18
827,1,-30,224,16,14
828,1,21,108,-9,-12
829,1,32,247,-13,-19
830,1,30,224,-14,-16
831,1,-20,91,13,7
832,1,3,2,-1,-2
833,1,29,180,-9,-20
834,1,-9,-190,19,-10
835,1,-2,-288,18,-16
836,1,-29,198,18,11
837,1,-8,-48,12,-4
838,1,-18,32,16,2
839,1,-5,-50,10,-5
840,1,-29,190,19,10
841,1,33,272,-16,-17
842,1,26,168,-12,-14
843,1,0,-121,11,-11
844,1,33,272,-16,-17
845,1,11,18,-2,-9
846,1,-4,-252,18,-14
847,1,27,180,-12,-15
848,1,24,128,-8,-16
849,1,7,-198,11,-18
850,1,3,-270,15,-18
851,1,33,270,-15,-18
852,1,15,-100,5,-20
853,1,-23,102,17,6
854,1,0,-361,19,-19
855,1,25,100,-5,-20
856,1,32,256,-16,-16
857,1,-3,-10,5,-2
858,1,-12,11,11,1
859,1,-24,140,14,10
860,1,-27,170,17,10
861,1,11,-102,6,-17
862,1,-25,136,17,8
863,1,0,-100,10,-10
864,1,-7,-44,11,-4
865,1,17,0,0,-17
866,1,12,0,0,-12
867,1,7,-30,3,-10
868,1,-9,-52,13,-4
869,1,12,-64,4,-16
870,1,-23,120,15,8
871,1,-18,-19,19,-1
872,1,10,-24,2,-12
873,1,15,14,-1,-14
874,1,-2,-99,11,-9
875,1,-7,-18,9,-2
876,1,-7,-98,14,-7
877,1,23,112,-7,-16
878,1,1,-72,8,-9
879,1,-1,-20,5,-4
880,1,-13,30,10,3
881,1,0,-16,4,-4
882,1,-5,-104,13,-8
883,1,-6,-72,12,-6
884,1,-3,-70,10,-7
885,1,-19,-20,20,-1
886,1,13,30,-3,-10
887,1,8,-153,9,-17
888,1,4,-5,1,-5
889,1,-3,-180,15,-12
890,1,-27,170,17,10
891,1,15,-54,3,-18
892,1,-13,40,8,5
893,1,-18,32,16,2
894,1,-4,-285,19,-15
895,1,22,40,-2,-20
896,1,25,154,-11,-14
897,1,-27,176,16,11
898,1,7,-8,1,-8
899,1,-13,-140,20,-7
900,1,10,21,-3,-7
901,1,18,-19,1,-19
902,1,-19,90,10,9
903,1,-5,0,5,0
904,1,22,105,-7,-15
905,1,-23,90,18,5
906,1,-25,154,14,11
907,1,7,6,-1,-6
908,1,-1,-132,12,-11
909,1,-5,0,5,0
910,1,35,304,-16,-19
911,1,2,-360,18,-20
912,1,14,-72,4,-18
913,1,-5,-6,6,-1
914,1,21,104,-8,-13
915,1,-1,-272,17,-16
916,1,-26,144,18,8
917,1,-26,165,15,11
918,1,-7,-8,8,-1
919,1,-17,0,17,0
920,1,13,-14,1,-14
921,1,-15,-100,20,-5
922,1,11,-60,4,-15
923,1,15,-54,3,-18
924,1,36,320,-16,-20
925,1,-5,-14,7,-2
926,1,1,-342,18,-19
927,1,12,-160,8,-20
928,1,-4,-252,18,-14
929,1,9,-112,7,-16
930,1,-10,-75,15,-5
931,1,-17,30,15,2
932,1,-3,0,3,0
933,1,-3,-54,9,-6
934,1,-2,-24,6,-4
935,1,-11,-12,12,-1
936,1,2,-24,4,-6
937,1,11,10,-1,-10
938,1,8,-48,4,-12
939,1,-2,-48,8,-6
940,1,9,20,-4,-5
941,1,7,-144,9,-16
942,1,8,-240,12,-20
943,1,-30,221,17,13
944,1,21,80,-5,-16
945,1,-19,34,17,2
946,1,25,126,-7,-18
947,1,2,-24,4,-6
948,1,19,90,-9,-10
949,1,36,323,-17,-19
950,1,-30,209,19,11
951,1,-20,75,15,5
952,1,5,-6,1,-6
953,1,18,80,-8,-10
954,1,-17,52,13,4
955,1,0,-256,16,-16
956,1,-18,56,14,4
957,1,24,135,-9,-15
958,1,8,15,-3,-5
959,1,-23,120,15,8
960,1,21,108,-9,-12
961,1,-2,-15,5,-3
962,1,3,-238,14,-17
963,1,-6,0,6,0
964,1,-35,304,19,16
965,1,11,24,-3,-8
966,1,-12,0,12,0
967,1,-4,0,4,0
968,1,-25,156,13,12
969,1,2,-360,18,-20
970,1,-11,-42,14,-3
971,1,15,54,-6,-9
972,1,-7,0,7,0
973,1,-6,-72,12,-6
974,1,-13,-114,19,-6
975,1,-13,-48,16,-3
976,1,-25,100,20,5
977,1,-2,-120,12,-10
978,1,1,0,0,-1
979,1,-16,48,12,4
980,1,-5,-14,7,-2
981,1,-14,-51,17,-3
982,1,7,10,-2,-5
983,1,19,70,-5,-14
984,1,2,-99,9,-11
985,1,-12,32,8,4
986,1,-13,-68,17,-4
987,1,0,-81,9,-9
988,1,-14,13,13,1
989,1,-22,72,18,4
990,1,-4,-77,11,-7
991,1,-36,323,19,17
992,1,-3,-70,10,-7
993,1,-6,-72,12,-6
994,1,2,-224,14,-16
995,1,-6,-112,14,-8
996,1,33,272,-16,-17
997,1,13,-48,3,-16
998,1,-16,39,13,3
999,1,-28,187,17,11
