fn #,x^2,x,k,root1,root2
133,1,-12,0,12,0
134,1,-19,90,10,9
135,1,-9,-136,17,-8
136,1,-4,-21,7,-3
137,1,-1,-20,5,-4
138,1,17,-18,1,-18
139,1,1,-240,15,-16
140,1,15,36,-3,-12
141,1,20,19,-1,-19
142,1,7,0,0,-7
143,1,-3,-304,19,-16
144,1,-11,-12,12,-1
145,1,0,-169,13,-13
146,1,3,-10,2,-5
147,1,3,-238,14,-17
148,1,-8,7,7,1
149,1,-11,10,10,1
150,1,-30,221,17,13
151,1,-1,-90,10,-9
152,1,7,-198,11,-18
153,1,15,0,0,-15
154,1,26,120,-6,-20
155,1,-20,96,12,8
156,1,-19,60,15,4
157,1,-10,24,6,4
158,1,6,-160,10,-16
159,1,38,361,-19,-19
160,1,19,-20,1,-20
161,1,11,-152,8,-19
162,1,-28,160,20,8
163,1,-1,-306,18,-17
164,1,8,-20,2,-10
165,1,9,0,0,-9
166,1,-19,-20,20,-1
167,1,5,-300,15,-20
168,1,2,-24,4,-6
169,1,25,114,-6,-19
170,1,-9,-22,11,-2
171,1,-2,-3,3,-1
172,1,3,-270,15,-18
173,1,24,108,-6,-18
174,1,-10,24,6,4
175,1,26,120,-6,-20
176,1,-24,80,20,4
177,1,-24,143,13,11
178,1,8,-128,8,-16
179,1,6,-112,8,-14
180,1,21,110,-10,-11
181,1,-8,-33,11,-3
182,1,-8,-84,14,-6
183,1,-14,33,11,3
184,1,-10,-39,13,-3
185,1,-13,0,13,0
186,1,2,-35,5,-7
187,1,-9,18,6,3
188,1,8,-48,4,-12
189,1,0,-100,10,-10
190,1,-16,0,16,0
191,1,-25,150,15,10
192,1,0,-4,2,-2
193,1,-35,300,20,15
194,1,17,30,-2,-15
195,1,-6,-216,18,-12
196,1,11,18,-2,-9
197,1,-24,119,17,7
198,1,14,40,-4,-10
199,1,-21,110,11,10
200,1,-10,-39,13,-3
201,1,-29,180,20,9
202,1,-6,0,6,0
203,1,-33,272,17,16
204,1,-7,-120,15,-8
205,1,-20,75,15,5
206,1,16,0,0,-16
207,1,-8,-48,12,-4
208,1,3,-54,6,-9
209,1,2,-63,7,-9
210,1,6,-91,7,-13
211,1,0,-64,8,-8
212,1,5,-50,5,-10
213,1,22,105,-7,-15
214,1,5,-24,3,-8
215,1,-21,20,20,1
216,1,-4,-5,5,-1
217,1,1,-306,17,-18
218,1,10,-200,10,-20
219,1,-19,0,19,0
220,1,-13,-140,20,-7
221,1,-3,-238,17,-14
222,1,25,126,-7,-18
223,1,4,-252,14,-18
224,1,23,130,-10,-13
225,1,-7,-98,14,-7
226,1,1,-342,18,-19
227,1,-8,-180,18,-10
228,1,-5,-36,9,-4
229,1,2,-323,17,-19
230,1,9,-90,6,-15
231,1,15,-34,2,-17
232,1,-1,-156,13,-12
233,1,16,63,-7,-9
234,1,-1,-132,12,-11
235,1,25,114,-6,-19
236,1,-10,9,9,1
237,1,-20,91,13,7
238,1,13,40,-5,-8
239,1,-13,-114,19,-6
240,1,20,64,-4,-16
241,1,1,-380,19,-20
242,1,30,200,-10,-20
243,1,-8,-180,18,-10
244,1,-5,-36,9,-4
245,1,-9,-220,20,-11
246,1,19,90,-9,-10
247,1,-4,-285,19,-15
248,1,8,-9,1,-9
249,1,-29,204,17,12
250,1,10,-119,7,-17
251,1,3,-130,10,-13
252,1,17,72,-8,-9
253,1,21,68,-4,-17
254,1,20,96,-8,-12
255,1,3,-10,2,-5
256,1,12,-45,3,-15
257,1,9,14,-2,-7
258,1,-8,-84,14,-6
259,1,-30,209,19,11
260,1,8,-48,4,-12
261,1,-3,-154,14,-11
262,1,-10,9,9,1
263,1,29,180,-9,-20
264,1,15,56,-7,-8
265,1,-2,-288,18,-16
266,1,8,-153,9,-17
267,1,-2,-63,9,-7
268,1,28,196,-14,-14
269,1,-4,-60,10,-6
270,1,6,-280,14,-20
271,1,-5,-36,9,-4
272,1,8,-105,7,-15
273,1,1,-110,10,-11
274,1,-23,112,16,7
275,1,-7,10,5,2
276,1,28,171,-9,-19
277,1,-9,8,8,1
278,1,-17,30,15,2
279,1,3,-154,11,-14
280,1,-5,0,5,0
281,1,12,35,-5,-7
282,1,13,-30,2,-15
283,1,-14,-15,15,-1
284,1,11,-180,9,-20
285,1,-9,-112,16,-7
286,1,27,176,-11,-16
287,1,1,-6,2,-3
288,1,7,-78,6,-13
289,1,26,120,-6,-20
290,1,9,-36,3,-12
291,1,17,66,-6,-11
292,1,-4,-252,18,-14
293,1,-15,44,11,4
294,1,-8,-128,16,-8
295,1,-18,72,12,6
296,1,-9,-90,15,-6
297,1,22,85,-5,-17
298,1,11,-102,6,-17
299,1,40,400,-20,-20
300,1,-5,-300,20,-15
301,1,5,-300,15,-20
302,1,-13,22,11,2
303,1,-17,72,9,8
304,1,14,-51,3,-17
305,1,4,-96,8,-12
306,1,8,-84,6,-14
307,1,0,-36,6,-6
308,1,20,100,-10,-10
309,1,2,-255,15,-17
310,1,-1,-30,6,-5
311,1,1,-110,10,-11
312,1,21,98,-7,-14
313,1,0,-1,1,-1
314,1,25,136,-8,-17
315,1,28,180,-10,-18
316,1,12,36,-6,-6
317,1,0,-16,4,-4
318,1,-34,285,19,15
319,1,-20,91,13,7
320,1,-26,120,20,6
321,1,-9,-52,13,-4
322,1,4,-192,12,-16
323,1,13,36,-4,-9
324,1,-7,-228,19,-12
325,1,-14,13,13,1
326,1,-11,-180,20,-9
327,1,21,54,-3,-18
328,1,14,-51,3,-17
329,1,12,-108,6,-18
330,1,-35,306,18,17
331,1,36,324,-18,-18
332,1,-26,144,18,8
333,1,-10,16,8,2
334,1,21,110,-10,-11
335,1,-17,30,15,2
336,1,-21,54,18,3
337,1,18,81,-9,-9
338,1,12,-28,2,-14
339,1,19,0,0,-19
340,1,-3,-238,17,-14
341,1,28,160,-8,-20
342,1,23,76,-4,-19
343,1,6,-160,10,-16
344,1,10,-75,5,-15
345,1,-13,40,8,5
346,1,-20,91,13,7
347,1,7,6,-1,-6
348,1,28,196,-14,-14
349,1,16,48,-4,-12
350,1,-8,-33,11,-3
351,1,-27,182,14,13
352,1,-1,-272,17,-16
353,1,4,-32,4,-8
354,1,-3,-180,15,-12
355,1,17,16,-1,-16
356,1,-23,130,13,10
357,1,1,-30,5,-6
358,1,-30,225,15,15
359,1,26,133,-7,-19
360,1,3,2,-1,-2
361,1,7,-30,3,-10
362,1,-22,85,17,5
363,1,3,-270,15,-18
364,1,27,182,-13,-14
365,1,20,51,-3,-17
366,1,5,6,-2,-3
367,1,9,-10,1,-10
368,1,26,144,-8,-18
369,1,-39,380,20,19
370,1,7,-260,13,-20
371,1,3,-130,10,-13
372,1,1,-2,1,-2
373,1,23,102,-6,-17
374,1,-29,180,20,9
375,1,0,-81,9,-9
376,1,-3,-208,16,-13
377,1,-5,-36,9,-4
378,1,-6,-187,17,-11
379,1,-38,360,20,18
380,1,17,-38,2,-19
381,1,-14,-95,19,-5
382,1,4,-45,5,-9
383,1,4,-45,5,-9
384,1,-30,216,18,12
385,1,11,-42,3,-14
386,1,24,140,-10,-14
387,1,6,-55,5,-11
388,1,19,48,-3,-16
389,1,-29,204,17,12
390,1,4,-221,13,-17
391,1,4,-21,3,-7
392,1,16,-17,1,-17
393,1,-16,55,11,5
394,1,-2,-195,15,-13
395,1,9,18,-3,-6
396,1,22,105,-7,-15
397,1,-1,-72,9,-8
398,1,14,-95,5,-19
399,1,32,256,-16,-16
400,1,-24,108,18,6
401,1,-3,-154,14,-11
402,1,-27,176,16,11
403,1,22,120,-10,-12
404,1,26,169,-13,-13
405,1,1,-240,15,-16
406,1,-8,-48,12,-4
407,1,-27,182,14,13
408,1,-9,-136,17,-8
409,1,-7,0,7,0
410,1,24,128,-8,-16
411,1,25,150,-10,-15
412,1,-27,182,14,13
413,1,-14,45,9,5
414,1,6,0,0,-6
415,1,-12,-108,18,-6
416,1,11,18,-2,-9
417,1,5,-300,15,-20
418,1,-3,-28,7,-4
419,1,-14,49,7,7
420,1,-13,40,8,5
421,1,-37,342,19,18
422,1,10,25,-5,-5
423,1,14,-72,4,-18
424,1,-31,240,16,15
425,1,20,84,-6,-14
426,1,1,-156,12,-13
427,1,-18,77,11,7
428,1,-21,110,11,10
429,1,0,-100,10,-10
430,1,-7,-18,9,-2
431,1,-26,168,14,12
432,1,26,165,-11,-15
433,1,32,247,-13,-19
434,1,-5,-150,15,-10
435,1,2,-195,13,-15
436,1,-4,-21,7,-3
437,1,-8,15,5,3
438,1,-6,-72,12,-6
439,1,-8,-240,20,-12
440,1,-28,160,20,8
441,1,26,120,-6,-20
442,1,-25,114,19,6
443,1,-4,-12,6,-2
444,1,-7,-144,16,-9
445,1,-32,247,19,13
446,1,18,56,-4,-14
447,1,17,16,-1,-16
448,1,23,102,-6,-17
449,1,4,-60,6,-10
450,1,11,-60,4,-15
451,1,2,-195,13,-15
452,1,13,36,-4,-9
453,1,15,36,-3,-12
454,1,-15,26,13,2
455,1,13,-114,6,-19
456,1,12,32,-4,-8
457,1,-3,-130,13,-10
458,1,-24,140,14,10
459,1,40,400,-20,-20
460,1,9,-70,5,-14
461,1,17,-60,3,-20
462,1,3,-4,1,-4
463,1,-12,-108,18,-6
464,1,-11,-42,14,-3
465,1,1,-30,5,-6
466,1,-8,-20,10,-2
467,1,-11,-152,19,-8
468,1,-4,3,3,1
469,1,-17,-38,19,-2
470,1,-5,-300,20,-15
471,1,22,120,-10,-12
472,1,12,-85,5,-17
473,1,-12,-45,15,-3
474,1,27,140,-7,-20
475,1,-23,130,13,10
476,1,29,210,-14,-15
477,1,-10,-144,18,-8
478,1,0,-49,7,-7
479,1,-8,-153,17,-9
480,1,-33,272,17,16
481,1,-22,57,19,3
482,1,14,-32,2,-16
483,1,-28,160,20,8
484,1,17,-18,1,-18
485,1,1,-132,11,-12
486,1,-1,-306,18,-17
487,1,38,360,-18,-20
488,1,25,136,-8,-17
489,1,0,-256,16,-16
490,1,-4,-12,6,-2
491,1,-7,-78,13,-6
492,1,-8,-105,15,-7
493,1,-8,0,8,0
494,1,-35,304,19,16
495,1,3,-238,14,-17
496,1,5,-66,6,-11
497,1,8,-153,9,-17
498,1,11,-42,3,-14
499,1,6,8,-2,-4
500,1,12,-45,3,-15
501,1,29,204,-12,-17
502,1,18,56,-4,-14
503,1,15,50,-5,-10
504,1,0,-169,13,-13
505,1,23,126,-9,-14
506,1,13,22,-2,-11
507,1,-16,63,9,7
508,1,17,52,-4,-13
509,1,20,0,0,-20
510,1,6,-7,1,-7
511,1,-1,-90,10,-9
512,1,-27,176,16,11
513,1,-15,14,14,1
514,1,-15,54,9,6
515,1,4,-221,13,-17
516,1,1,-30,5,-6
517,1,-11,-42,14,-3
518,1,7,-18,2,-9
519,1,-18,-19,19,-1
520,1,4,-165,11,-15
521,1,18,17,-1,-17
522,1,-9,-190,19,-10
523,1,-29,198,18,11
524,1,35,300,-15,-20
525,1,-31,238,17,14
526,1,2,-224,14,-16
527,1,-16,0,16,0
528,1,-6,9,3,3
529,1,6,-55,5,-11
530,1,-34,288,18,16
531,1,22,105,-7,-15
532,1,-10,-39,13,-3
533,1,-18,0,18,0
534,1,29,208,-13,-16
535,1,-21,80,16,5
536,1,39,380,-19,-20
537,1,-6,-72,12,-6
538,1,-11,30,6,5
539,1,-12,36,6,6
540,1,-17,-38,19,-2
541,1,18,-19,1,-19
542,1,-4,-5,5,-1
543,1,8,-65,5,-13
544,1,-10,-119,17,-7
545,1,-21,38,19,2
546,1,-30,221,17,13
547,1,-12,-85,17,-5
548,1,-30,200,20,10
549,1,12,-13,1,-13
550,1,7,-144,9,-16
551,1,33,270,-15,-18
552,1,-8,-209,19,-11
553,1,-1,-110,11,-10
554,1,13,-90,5,-18
555,1,29,180,-9,-20
556,1,-25,114,19,6
557,1,7,-44,4,-11
558,1,-11,-152,19,-8
559,1,26,144,-8,-18
560,1,16,60,-6,-10
561,1,20,96,-8,-12
562,1,0,-289,17,-17
563,1,0,-256,16,-16
564,1,14,45,-5,-9
565,1,-13,40,8,5
566,1,8,-209,11,-19
567,1,27,140,-7,-20
568,1,-26,120,20,6
569,1,37,342,-18,-19
570,1,18,0,0,-18
571,1,19,18,-1,-18
572,1,0,-289,17,-17
573,1,-12,-133,19,-7
574,1,12,-85,5,-17
575,1,-4,-21,7,-3
576,1,12,20,-2,-10
577,1,14,40,-4,-10
578,1,8,-9,1,-9
579,1,12,-64,4,-16
580,1,27,170,-10,-17
581,1,-2,1,1,1
582,1,-11,-102,17,-6
583,1,20,64,-4,-16
584,1,-12,32,8,4
585,1,9,-52,4,-13
586,1,-7,-228,19,-12
587,1,5,-66,6,-11
588,1,15,26,-2,-13
589,1,19,18,-1,-18
590,1,4,-12,2,-6
591,1,7,-120,8,-15
592,1,-1,-42,7,-6
593,1,1,-6,2,-3
594,1,-37,342,19,18
595,1,26,133,-7,-19
596,1,-9,20,5,4
597,1,-17,0,17,0
598,1,23,102,-6,-17
599,1,12,20,-2,-10
600,1,-3,-18,6,-3
601,1,22,85,-5,-17
602,1,23,90,-5,-18
603,1,19,-20,1,-20
604,1,-1,-380,20,-19
605,1,20,19,-1,-19
606,1,-16,39,13,3
607,1,2,-360,18,-20
608,1,-14,-72,18,-4
609,1,-14,40,10,4
610,1,4,-165,11,-15
611,1,-4,-165,15,-11
612,1,-2,-24,6,-4
613,1,10,-119,7,-17
614,1,17,66,-6,-11
615,1,10,-39,3,-13
616,1,30,209,-11,-19
617,1,-20,96,12,8
618,1,18,80,-8,-10
619,1,15,-54,3,-18
620,1,2,-120,10,-12
621,1,10,-56,4,-14
622,1,-2,-195,15,-13
623,1,-19,88,11,8
624,1,-29,198,18,11
625,1,-9,-136,17,-8
626,1,-5,-66,11,-6
627,1,-6,-247,19,-13
628,1,7,-170,10,-17
629,1,24,140,-10,-14
630,1,-2,-35,7,-5
631,1,-6,-280,20,-14
632,1,-4,-5,5,-1
633,1,11,-102,6,-17
634,1,6,-55,5,-11
635,1,22,40,-2,-20
636,1,5,-14,2,-7
637,1,6,-7,1,-7
638,1,-3,-28,7,-4
639,1,19,34,-2,-17
640,1,-24,95,19,5
641,1,-6,-40,10,-4
642,1,-27,152,19,8
643,1,17,52,-4,-13
644,1,-38,360,20,18
645,1,21,68,-4,-17
646,1,-32,247,19,13
647,1,-4,-221,17,-13
648,1,-27,180,15,12
649,1,-13,-140,20,-7
650,1,32,247,-13,-19
651,1,7,10,-2,-5
652,1,21,54,-3,-18
653,1,8,16,-4,-4
654,1,6,-72,6,-12
655,1,3,-88,8,-11
656,1,7,0,0,-7
657,1,-14,-32,16,-2
658,1,-8,-65,13,-5
659,1,-13,-114,19,-6
660,1,4,-5,1,-5
661,1,-1,-306,18,-17
662,1,-11,-102,17,-6
663,1,16,55,-5,-11
664,1,0,-100,10,-10
665,1,-14,24,12,2
666,1,10,-11,1,-11
667,1,3,0,0,-3
668,1,9,14,-2,-7
669,1,-30,200,20,10
670,1,-30,209,19,11
671,1,4,-117,9,-13
672,1,7,10,-2,-5
673,1,-25,136,17,8
674,1,1,-30,5,-6
675,1,-28,180,18,10
676,1,-18,81,9,9
677,1,32,240,-12,-20
678,1,-24,128,16,8
679,1,-22,105,15,7
680,1,26,153,-9,-17
681,1,-12,-45,15,-3
682,1,-3,-238,17,-14
683,1,9,-10,1,-10
684,1,3,-40,5,-8
685,1,23,90,-5,-18
686,1,0,-4,2,-2
687,1,17,70,-7,-10
688,1,-7,6,6,1
689,1,14,48,-6,-8
690,1,-18,65,13,5
691,1,20,75,-5,-15
692,1,-7,-60,12,-5
693,1,21,108,-9,-12
694,1,9,-10,1,-10
695,1,25,126,-7,-18
696,1,-13,40,8,5
697,1,-5,-66,11,-6
698,1,9,-36,3,-12
699,1,-13,40,8,5
700,1,14,-95,5,-19
701,1,-28,187,17,11
702,1,3,-340,17,-20
703,1,34,285,-15,-19
704,1,-17,-18,18,-1
705,1,3,-304,16,-19
706,1,-9,-90,15,-6
707,1,-16,-36,18,-2
708,1,28,195,-13,-15
709,1,12,-133,7,-19
710,1,-1,-240,16,-15
711,1,0,-289,17,-17
712,1,17,42,-3,-14
713,1,-4,-21,7,-3
714,1,19,60,-4,-15
715,1,1,-380,19,-20
716,1,-13,-140,20,-7
717,1,-26,153,17,9
718,1,12,-13,1,-13
719,1,-38,360,20,18
720,1,31,234,-13,-18
721,1,6,-216,12,-18
722,1,28,195,-13,-15
723,1,-2,-63,9,-7
724,1,-28,160,20,8
725,1,-4,-165,15,-11
726,1,-9,-90,15,-6
727,1,-24,128,16,8
728,1,7,-78,6,-13
729,1,-19,34,17,2
730,1,-18,17,17,1
731,1,-19,70,14,5
732,1,-22,57,19,3
733,1,-23,60,20,3
734,1,-1,-20,5,-4
735,1,-16,39,13,3
736,1,3,-130,10,-13
737,1,17,52,-4,-13
738,1,-2,-99,11,-9
739,1,13,-140,7,-20
740,1,23,90,-5,-18
741,1,-23,102,17,6
742,1,-13,-14,14,-1
743,1,5,-14,2,-7
744,1,3,-304,16,-19
745,1,32,252,-14,-18
746,1,24,95,-5,-19
747,1,-3,-4,4,-1
748,1,21,80,-5,-16
749,1,-29,204,17,12
750,1,-4,-60,10,-6
751,1,32,247,-13,-19
752,1,-15,50,10,5
753,1,-21,104,13,8
754,1,-5,-204,17,-12
755,1,-4,-21,7,-3
756,1,24,95,-5,-19
757,1,12,0,0,-12
758,1,6,-135,9,-15
759,1,-22,72,18,4
760,1,-1,-240,16,-15
761,1,-26,120,20,6
762,1,5,-234,13,-18
763,1,9,-112,7,-16
764,1,5,-50,5,-10
765,1,-13,-48,16,-3
766,1,2,0,0,-2
767,1,-21,80,16,5
768,1,25,100,-5,-20
769,1,14,33,-3,-11
770,1,-5,-66,11,-6
771,1,-25,156,13,12
772,1,-10,-39,13,-3
773,1,-25,136,17,8
774,1,29,190,-10,-19
775,1,-27,152,19,8
776,1,16,55,-5,-11
777,1,20,91,-7,-13
778,1,12,35,-5,-7
779,1,28,180,-10,-18
780,1,31,238,-14,-17
781,1,7,-44,4,-11
782,1,7,-120,8,-15
783,1,-7,-44,11,-4
784,1,8,-84,6,-14
785,1,-36,323,19,17
786,1,4,-192,12,-16
787,1,-9,0,9,0
788,1,24,128,-8,-16
789,1,9,-90,6,-15
790,1,-29,208,16,13
791,1,12,-85,5,-17
792,1,-27,180,15,12
793,1,2,-63,7,-9
794,1,-13,12,12,1
795,1,-1,-156,13,-12
796,1,20,75,-5,-15
797,1,21,80,-5,-16
798,1,-17,-18,18,-1
799,1,-6,-112,14,-8
800,1,-15,36,12,3
801,1,1,-156,12,-13
802,1,19,90,-9,-10
803,1,6,-135,9,-15
804,1,12,11,-1,-11
805,1,17,30,-2,-15
806,1,5,-24,3,-8
807,1,-22,72,18,4
808,1,2,-195,13,-15
809,1,21,80,-5,-16
810,1,-11,-126,18,-7
811,1,-8,-180,18,-10
812,1,-15,-34,17,-2
813,1,8,-33,3,-11
814,1,-12,-160,20,-8
815,1,-7,-260,20,-13
816,1,-9,-22,11,-2
817,1,-6,-216,18,-12
818,1,-2,-288,18,-16
819,1,-6,-135,15,-9
820,1,24,143,-11,-13
821,1,-18,81,9,9
822,1,31,240,-15,-16
823,1,14,-72,4,-18
824,1,9,14,-2,-7
825,1,-29,198,18,11
826,1,32,252,-14,-18
827,1,-20,99,11,9
828,1,17,70,-7,-10
829,1,14,24,-2,-12
830,1,21,68,-4,-17
831,1,23,126,-9,-14
832,1,-10,9,9,1
833,1,-8,-105,15,-7
834,1,18,0,0,-18
835,1,35,304,-16,-19
836,1,16,39,-3,-13
837,1,-17,70,10,7
838,1,7,-144,9,-16
839,1,7,-260,13,-20
840,1,6,0,0,-6
841,1,-25,126,18,7
842,1,-30,221,17,13
843,1,17,30,-2,-15
844,1,-25,154,14,11
845,1,14,-95,5,-19
846,1,6,-187,11,-17
847,1,-17,30,15,2
848,1,32,252,-14,-18
849,1,2,-120,10,-12
850,1,23,112,-7,-16
851,1,-20,19,19,1
852,1,-9,-190,19,-10
853,1,34,288,-16,-18
854,1,-22,117,13,9
855,1,28,187,-11,-17
856,1,2,-3,1,-3
857,1,-3,-154,14,-11
858,1,7,-260,13,-20
859,1,-12,27,9,3
860,1,0,-4,2,-2
861,1,-22,120,12,10
862,1,-28,160,20,8
863,1,-7,-144,16,-9
864,1,-22,120,12,10
865,1,26,165,-11,-15
866,1,-8,-20,10,-2
867,1,-32,240,20,12
868,1,-16,63,9,7
869,1,34,280,-14,-20
870,1,13,0,0,-13
871,1,-16,63,9,7
872,1,0,-49,7,-7
873,1,-12,27,9,3
874,1,-8,-153,17,-9
875,1,-8,-20,10,-2
876,1,9,20,-4,-5
877,1,9,18,-3,-6
878,1,-6,-112,14,-8
879,1,15,56,-7,-8
880,1,-15,0,15,0
881,1,-12,-64,16,-4
882,1,16,64,-8,-8
883,1,-16,28,14,2
884,1,-3,-54,9,-6
885,1,-25,126,18,7
886,1,23,90,-5,-18
887,1,26,165,-11,-15
888,1,14,48,-6,-8
889,1,39,380,-19,-20
890,1,-5,-234,18,-13
891,1,16,39,-3,-13
892,1,-19,90,10,9
893,1,-3,-18,6,-3
894,1,-7,-30,10,-3
895,1,1,-272,16,-17
896,1,-22,40,20,2
897,1,-10,16,8,2
898,1,-9,14,7,2
899,1,1,-72,8,-9
900,1,-11,18,9,2
901,1,12,-64,4,-16
902,1,1,-56,7,-8
903,1,34,285,-15,-19
904,1,9,8,-1,-8
905,1,-11,-12,12,-1
906,1,-2,-224,16,-14
907,1,-11,-80,16,-5
908,1,-2,-195,15,-13
909,1,1,-2,1,-2
910,1,16,28,-2,-14
911,1,7,-98,7,-14
912,1,-1,-342,19,-18
913,1,20,19,-1,-19
914,1,20,99,-9,-11
915,1,-6,-72,12,-6
916,1,21,104,-8,-13
917,1,22,105,-7,-15
918,1,13,30,-3,-10
919,1,25,100,-5,-20
920,1,-36,324,18,18
921,1,-35,300,20,15
922,1,11,-180,9,-20
923,1,-24,140,14,10
924,1,-20,75,15,5
925,1,-17,0,17,0
926,1,-26,144,18,8
927,1,1,-12,3,-4
928,1,-17,-18,18,-1
929,1,-4,3,3,1
930,1,0,-9,3,-3
931,1,-6,-280,20,-14
932,1,17,-38,2,-19
933,1,19,60,-4,-15
934,1,13,-114,6,-19
935,1,14,33,-3,-11
936,1,-1,-42,7,-6
937,1,11,24,-3,-8
938,1,8,7,-1,-7
939,1,-2,-323,19,-17
940,1,-9,-136,17,-8
941,1,26,120,-6,-20
942,1,-4,-96,12,-8
943,1,-13,-140,20,-7
944,1,2,0,0,-2
945,1,25,126,-7,-18
946,1,-4,-221,17,-13
947,1,8,-65,5,-13
948,1,-10,-200,20,-10
949,1,-13,40,8,5
950,1,-15,36,12,3
951,1,3,-40,5,-8
952,1,-7,0,7,0
953,1,1,-240,15,-16
954,1,0,-81,9,-9
955,1,21,108,-9,-12
956,1,4,-5,1,-5
957,1,10,-144,8,-18
958,1,-7,-98,14,-7
959,1,2,-63,7,-9
960,1,-23,126,14,9
961,1,-37,342,19,18
962,1,5,-234,13,-18
963,1,4,-45,5,-9
964,1,8,-20,2,-10
965,1,-19,78,13,6
966,1,-24,140,14,10
967,1,-9,-10,10,-1
968,1,20,19,-1,-19
969,1,-9,-90,15,-6
970,1,-21,38,19,2
971,1,-1,-156,13,-12
972,1,-14,13,13,1
973,1,-21,80,16,5
974,1,17,66,-6,-11
975,1,15,-76,4,-19
976,1,0,-225,15,-15
977,1,15,-100,5,-20
978,1,-20,19,19,1
979,1,24,143,-11,-13
980,1,35,300,-15,-20
981,1,20,0,0,-20
982,1,-31,240,16,15
983,1,22,72,-4,-18
984,1,18,65,-5,-13
985,1,-21,110,11,10
986,1,17,0,0,-17
987,1,-4,-21,7,-3
988,1,-7,-60,12,-5
989,1,-18,-19,19,-1
990,1,-1,-56,8,-7
991,1,26,120,-6,-20
992,1,33,260,-13,-20
993,1,3,-88,8,-11
994,1,8,7,-1,-7
995,1,33,266,-14,-19
996,1,10,-11,1,-11
997,1,14,-95,5,-19
998,1,-27,162,18,9
999,1,23,90,-5,-18
